image_id,beta,alpha,ratio,min_pairwise_de2000,reconstruction_error_de2000
coco_000000101022,0.25,1.0,0.25,31.0297282701,10.8075056651
coco_000000101022,0.5,1.0,0.5,31.0297282701,10.8075056651
coco_000000101022,1.0,1.0,1.0,32.1422247689,10.8416900861
coco_000000101022,2.0,1.0,2.0,32.1422247689,10.8416900861
coco_000000101022,4.0,1.0,4.0,32.1422247689,10.8416900861
coco_000000262487,0.25,1.0,0.25,28.1973031622,9.09596549332
coco_000000262487,0.5,1.0,0.5,28.1973031622,9.09596549332
coco_000000262487,1.0,1.0,1.0,28.1973031622,9.09596549332
coco_000000262487,2.0,1.0,2.0,28.1973031622,9.09596549332
coco_000000262487,4.0,1.0,4.0,28.1973031622,9.09596549332
coco_000000512330,0.25,1.0,0.25,26.3668532161,14.513805832
coco_000000512330,0.5,1.0,0.5,26.3668532161,14.513805832
coco_000000512330,1.0,1.0,1.0,26.3668532161,14.513805832
coco_000000512330,2.0,1.0,2.0,26.6536829113,12.9602197548
coco_000000512330,4.0,1.0,4.0,26.6536829113,12.9602197548
coco_000000307145,0.25,1.0,0.25,17.265934869,7.91000134478
coco_000000307145,0.5,1.0,0.5,17.3011220762,8.4149475641
coco_000000307145,1.0,1.0,1.0,17.3011220762,8.4149475641
coco_000000307145,2.0,1.0,2.0,17.3011220762,8.4149475641
coco_000000307145,4.0,1.0,4.0,17.3011220762,8.4149475641
coco_000000537355,0.25,1.0,0.25,23.1654843291,9.65675619116
coco_000000537355,0.5,1.0,0.5,24.7825755908,9.94180534589
coco_000000537355,1.0,1.0,1.0,24.9211821996,10.2459106444
coco_000000537355,2.0,1.0,2.0,24.9211821996,10.2459106444
coco_000000537355,4.0,1.0,4.0,24.9211821996,10.2459106444
coco_000000470779,0.25,1.0,0.25,30.1989768145,14.1804257629
coco_000000470779,0.5,1.0,0.5,30.1989768145,14.1804257629
coco_000000470779,1.0,1.0,1.0,30.1989768145,14.1804257629
coco_000000470779,2.0,1.0,2.0,30.1989768145,14.1804257629
coco_000000470779,4.0,1.0,4.0,30.5589194434,13.829246849
coco_000000453341,0.25,1.0,0.25,24.7323541678,11.8069862832
coco_000000453341,0.5,1.0,0.5,24.7323541678,11.8069862832
coco_000000453341,1.0,1.0,1.0,24.7323541678,11.8069862832
coco_000000453341,2.0,1.0,2.0,24.7323541678,11.8069862832
coco_000000453341,4.0,1.0,4.0,24.7323541678,11.8069862832
coco_000000440171,0.25,1.0,0.25,26.1938857707,11.0876420519
coco_000000440171,0.5,1.0,0.5,26.1938857707,11.7546248603
coco_000000440171,1.0,1.0,1.0,26.1938857707,11.7546248603
coco_000000440171,2.0,1.0,2.0,26.1938857707,11.7546248603
coco_000000440171,4.0,1.0,4.0,26.1938857707,11.7546248603
coco_000000418961,0.25,1.0,0.25,21.8575882126,6.47010981319
coco_000000418961,0.5,1.0,0.5,21.8575882126,6.47010981319
coco_000000418961,1.0,1.0,1.0,21.8575882126,6.47010981319
coco_000000418961,2.0,1.0,2.0,21.8575882126,6.44748742805
coco_000000418961,4.0,1.0,4.0,21.8575882126,6.44748742805
coco_000000544811,0.25,1.0,0.25,22.9367150359,7.30878266482
coco_000000544811,0.5,1.0,0.5,22.9367150359,7.30878266482
coco_000000544811,1.0,1.0,1.0,22.9367150359,7.30878266482
coco_000000544811,2.0,1.0,2.0,22.9367150359,7.30878266482
coco_000000544811,4.0,1.0,4.0,22.9367150359,7.30878266482
coco_000000438304,0.25,1.0,0.25,32.1138967959,9.9543717282
coco_000000438304,0.5,1.0,0.5,33.4408599686,10.1265691478
coco_000000438304,1.0,1.0,1.0,33.4408599686,10.0675825739
coco_000000438304,2.0,1.0,2.0,33.4408599686,10.0675825739
coco_000000438304,4.0,1.0,4.0,33.4408599686,10.0675825739
coco_000000213035,0.25,1.0,0.25,20.0441737227,5.65390870303
coco_000000213035,0.5,1.0,0.5,20.0441737227,5.76261534931
coco_000000213035,1.0,1.0,1.0,20.0441737227,5.76261534931
coco_000000213035,2.0,1.0,2.0,20.0441737227,5.76261534931
coco_000000213035,4.0,1.0,4.0,20.0441737227,5.76261534931
coco_000000393115,0.25,1.0,0.25,26.2094065106,11.1531778737
coco_000000393115,0.5,1.0,0.5,26.2094065106,11.1531778737
coco_000000393115,1.0,1.0,1.0,26.2094065106,11.1531778737
coco_000000393115,2.0,1.0,2.0,26.2094065106,11.1531778737
coco_000000393115,4.0,1.0,4.0,26.2094065106,11.1531778737
coco_000000524742,0.25,1.0,0.25,30.0720810356,13.8431083504
coco_000000524742,0.5,1.0,0.5,30.0720810356,13.8431083504
coco_000000524742,1.0,1.0,1.0,32.8049937253,12.4078173526
coco_000000524742,2.0,1.0,2.0,32.8049937253,12.4078173526
coco_000000524742,4.0,1.0,4.0,32.8049937253,12.4078173526
coco_000000335427,0.25,1.0,0.25,27.0504058695,11.0633869847
coco_000000335427,0.5,1.0,0.5,27.0504058695,10.8948314645
coco_000000335427,1.0,1.0,1.0,27.0504058695,10.8948314645
coco_000000335427,2.0,1.0,2.0,27.0504058695,10.8948314645
coco_000000335427,4.0,1.0,4.0,27.0504058695,10.8948314645
coco_000000371472,0.25,1.0,0.25,33.7440945815,14.5792641738
coco_000000371472,0.5,1.0,0.5,33.7440945815,14.5792641738
coco_000000371472,1.0,1.0,1.0,33.7440945815,14.5792641738
coco_000000371472,2.0,1.0,2.0,33.7440945815,14.5792641738
coco_000000371472,4.0,1.0,4.0,33.7440945815,14.5792641738
coco_000000075393,0.25,1.0,0.25,20.8593256159,8.22156657496
coco_000000075393,0.5,1.0,0.5,22.2268896234,10.4763435421
coco_000000075393,1.0,1.0,1.0,22.2268896234,10.4763435421
coco_000000075393,2.0,1.0,2.0,22.2268896234,10.4763435421
coco_000000075393,4.0,1.0,4.0,22.2268896234,10.4763435421
coco_000000315187,0.25,1.0,0.25,26.9820467355,8.21393153214
coco_000000315187,0.5,1.0,0.5,26.9820467355,8.21393153214
coco_000000315187,1.0,1.0,1.0,26.9820467355,8.21393153214
coco_000000315187,2.0,1.0,2.0,26.9820467355,8.21393153214
coco_000000315187,4.0,1.0,4.0,26.9820467355,8.21393153214
coco_000000228214,0.25,1.0,0.25,22.7451498516,8.93810363968
coco_000000228214,0.5,1.0,0.5,24.9780043469,9.07081433464
coco_000000228214,1.0,1.0,1.0,24.665377129,9.32871614213
coco_000000228214,2.0,1.0,2.0,24.665377129,9.32871614213
coco_000000228214,4.0,1.0,4.0,24.665377129,9.32871614213
coco_000000369037,0.25,1.0,0.25,19.6621266803,5.89642996501
coco_000000369037,0.5,1.0,0.5,19.6621266803,5.89642996501
coco_000000369037,1.0,1.0,1.0,20.371568482,6.61021157821
coco_000000369037,2.0,1.0,2.0,20.371568482,6.61021157821
coco_000000369037,4.0,1.0,4.0,20.371568482,6.61021157821
coco_000000294163,0.25,1.0,0.25,28.7729350085,14.6925770416
coco_000000294163,0.5,1.0,0.5,28.7729350085,14.6925770416
coco_000000294163,1.0,1.0,1.0,28.7729350085,14.6925770416
coco_000000294163,2.0,1.0,2.0,28.7729350085,14.6925770416
coco_000000294163,4.0,1.0,4.0,28.7729350085,14.6925770416
coco_000000393093,0.25,1.0,0.25,27.7443078148,9.72934450372
coco_000000393093,0.5,1.0,0.5,27.7443078148,9.88013507766
coco_000000393093,1.0,1.0,1.0,27.7443078148,9.88013507766
coco_000000393093,2.0,1.0,2.0,27.7443078148,9.88013507766
coco_000000393093,4.0,1.0,4.0,27.7443078148,9.88013507766
coco_000000283520,0.25,1.0,0.25,29.2137493514,12.5755319779
coco_000000283520,0.5,1.0,0.5,29.2137493514,12.5755319779
coco_000000283520,1.0,1.0,1.0,30.3742469908,12.9063171724
coco_000000283520,2.0,1.0,2.0,30.3742469908,12.9063171724
coco_000000283520,4.0,1.0,4.0,30.3742469908,12.9063171724
coco_000000021465,0.25,1.0,0.25,30.172779378,17.0544170338
coco_000000021465,0.5,1.0,0.5,31.8016602885,17.1351822819
coco_000000021465,1.0,1.0,1.0,31.8016602885,17.1351822819
coco_000000021465,2.0,1.0,2.0,31.8016602885,17.1351822819
coco_000000021465,4.0,1.0,4.0,31.8016602885,17.1351822819
coco_000000575372,0.25,1.0,0.25,29.4706234628,9.59456958456
coco_000000575372,0.5,1.0,0.5,29.4706234628,9.59456958456
coco_000000575372,1.0,1.0,1.0,29.4706234628,10.5805436845
coco_000000575372,2.0,1.0,2.0,29.4706234628,10.5805436845
coco_000000575372,4.0,1.0,4.0,29.4706234628,10.5805436845
coco_000000161128,0.25,1.0,0.25,25.736747901,7.79188549697
coco_000000161128,0.5,1.0,0.5,26.4619129187,8.27528437497
coco_000000161128,1.0,1.0,1.0,26.4619129187,8.27528437497
coco_000000161128,2.0,1.0,2.0,26.4619129187,8.27528437497
coco_000000161128,4.0,1.0,4.0,26.4619129187,8.27528437497
coco_000000284106,0.25,1.0,0.25,23.8267493238,8.57967803458
coco_000000284106,0.5,1.0,0.5,23.8267493238,8.57967803458
coco_000000284106,1.0,1.0,1.0,23.8267493238,8.57967803458
coco_000000284106,2.0,1.0,2.0,24.0572437193,8.9430605273
coco_000000284106,4.0,1.0,4.0,24.0572437193,8.9430605273
coco_000000104666,0.25,1.0,0.25,26.2950832743,9.97289343244
coco_000000104666,0.5,1.0,0.5,26.2950832743,11.0922788869
coco_000000104666,1.0,1.0,1.0,26.2950832743,11.0922788869
coco_000000104666,2.0,1.0,2.0,26.2950832743,11.0922788869
coco_000000104666,4.0,1.0,4.0,26.2950832743,11.0922788869
coco_000000008277,0.25,1.0,0.25,23.6790877715,9.48044476531
coco_000000008277,0.5,1.0,0.5,23.6790877715,9.48044476531
coco_000000008277,1.0,1.0,1.0,23.6790877715,9.48044476531
coco_000000008277,2.0,1.0,2.0,23.6790877715,9.48044476531
coco_000000008277,4.0,1.0,4.0,23.6790877715,9.48044476531
coco_000000396729,0.25,1.0,0.25,15.382944946,3.54248828676
coco_000000396729,0.5,1.0,0.5,15.8669922555,3.62564137577
coco_000000396729,1.0,1.0,1.0,15.8669922555,3.6750157332
coco_000000396729,2.0,1.0,2.0,15.8669922555,4.15885242967
coco_000000396729,4.0,1.0,4.0,15.8669922555,4.15885242967
