image_id,dsp_aa_pass,kmeans_lab_aa_pass,kmeans_rgb_aa_pass,median_cut_aa_pass
coco_000000005060,True,True,True,True
coco_000000007281,True,True,True,False
coco_000000008277,True,True,True,True
coco_000000021465,True,True,True,True
coco_000000028449,True,True,True,True
coco_000000033854,True,True,True,True
coco_000000035279,True,True,True,True
coco_000000069106,True,True,True,False
coco_000000075393,True,True,True,True
coco_000000085329,True,True,True,False
coco_000000090062,True,True,True,True
coco_000000101022,True,True,True,True
coco_000000104666,True,True,True,True
coco_000000107226,True,True,True,True
coco_000000117645,True,True,True,False
coco_000000119516,True,True,True,False
coco_000000145020,True,True,True,True
coco_000000161128,True,True,True,True
coco_000000162543,True,True,True,True
coco_000000166287,True,True,True,False
coco_000000168974,True,True,True,True
coco_000000169169,True,True,True,True
coco_000000184400,True,True,True,True
coco_000000186632,True,True,True,True
coco_000000187249,True,True,True,True
coco_000000190923,True,True,True,True
coco_000000213035,True,True,True,True
coco_000000228214,True,True,True,True
coco_000000233370,True,True,True,True
coco_000000236690,True,True,True,False
coco_000000244379,True,True,True,True
coco_000000252216,True,True,True,True
coco_000000255749,True,True,True,True
coco_000000262487,True,True,True,False
coco_000000275791,True,True,True,True
coco_000000281693,True,True,True,True
coco_000000283520,True,True,True,True
coco_000000284106,True,True,True,True
coco_000000288762,True,True,True,True
coco_000000294163,True,True,True,False
coco_000000300233,True,True,True,True
coco_000000307145,True,True,True,True
coco_000000315187,True,True,True,True
coco_000000334977,True,True,True,True
coco_000000335427,True,True,True,True
coco_000000346232,True,True,True,True
coco_000000369037,True,True,True,True
coco_000000371472,True,True,True,True
coco_000000380706,True,True,True,True
coco_000000393093,True,True,True,True
coco_000000393115,True,True,True,True
coco_000000396729,True,True,True,True
coco_000000403584,True,True,True,True
coco_000000412286,True,True,True,True
coco_000000418961,True,True,True,True
coco_000000423506,True,True,True,True
coco_000000437205,True,True,True,True
coco_000000438304,True,True,True,True
coco_000000440171,True,True,True,True
coco_000000453341,True,True,True,True
coco_000000462031,True,True,True,True
coco_000000462371,True,True,True,True
coco_000000464522,True,True,True,True
coco_000000470779,True,True,True,True
coco_000000494759,True,True,True,True
coco_000000503841,True,True,True,True
coco_000000512330,True,True,True,True
coco_000000524742,True,True,True,True
coco_000000537355,True,True,True,True
coco_000000542625,True,True,True,True
coco_000000542856,True,True,True,True
coco_000000544811,True,True,True,True
coco_000000553339,True,True,True,True
coco_000000554735,True,True,True,False
coco_000000575372,True,True,True,True
