rank,filename,fallback,relax_steps,reject_count,n_avail,min_dE
1,flat_beige_4.jpg,True,31,90,25,0.755
2,flat_beige_2.jpg,True,30,94,26,0.755
3,flat_beige_1.jpg,True,30,102,28,0.759
4,flat_beige_0.jpg,True,30,94,26,0.766
5,warm_tan_1.jpg,True,29,154,41,1.028
6,flat_beige_3.jpg,True,28,150,40,1.369
7,warm_tan_2.jpg,True,27,158,42,1.364
8,warm_tan_4.jpg,True,27,174,46,1.37
9,warm_tan_0.jpg,True,27,154,41,1.376
10,warm_tan_3.jpg,True,25,170,45,1.364
11,gray_grad_0.jpg,True,24,90,25,1.069
12,overcast_3.jpg,True,23,186,49,1.612
13,overcast_2.jpg,True,22,214,56,1.498
14,overcast_4.jpg,True,20,326,84,1.903
15,overcast_0.jpg,True,20,226,59,1.919
16,gray_grad_1.jpg,True,17,146,39,1.904
17,overcast_1.jpg,True,16,346,89,2.382
18,gray_grad_2.jpg,True,13,214,56,2.289
19,twotone_3.jpg,True,8,533,156,3.533
20,twotone_0.jpg,True,8,414,123,3.594
21,gray_grad_3.jpg,True,8,264,70,3.834
22,twotone_2.jpg,True,7,236,72,3.493
23,twotone_4.jpg,True,7,497,139,3.676
24,twotone_1.jpg,True,7,239,68,4.225
25,gray_grad_4.jpg,True,6,307,85,4.288
26,conflict_2.jpg,True,1,638,246,9.979
27,conflict_0.jpg,True,1,650,250,9.979
28,conflict_1.jpg,False,0,655,253,10.167
29,conflict_3.jpg,False,0,648,250,10.243
30,conflict_4.jpg,False,0,635,248,10.532
