image_id,method,surface_idx,on_surface_idx,surface_hex,on_surface_hex,surface_lab,on_surface_lab,role_pair_contrast,role_pair_aa,any_pair_aa,best_any_pair_contrast,best_any_pair_hex_a,best_any_pair_hex_b,wcag_replacement_applied,wcag_guaranteed,effective_mode
coco_000000005060,dsp,0,1,#fefefe,#010300,"[99.655, 0.008, 0.004]","[0.647, -0.94, 0.951]",20.5282,True,True,20.5282,#fefefe,#010300,False,True,light
coco_000000005060,kmeans_lab,3,4,#ced3cf,#231c16,"[84.078, -2.425, 1.385]","[10.891, 2.214, 5.428]",11.082,True,True,11.082,#ced3cf,#231c16,False,True,light
coco_000000005060,kmeans_rgb,4,2,#f3f6f4,#2d1b0e,"[96.615, -1.339, 0.615]","[11.78, 7.147, 11.748]",15.1406,True,True,15.1406,#2d1b0e,#f3f6f4,False,True,light
coco_000000005060,median_cut,3,2,#d1d2ca,#312315,"[83.92, -1.767, 3.842]","[15.003, 4.474, 11.962]",9.9741,True,True,9.9741,#312315,#d1d2ca,False,True,light
coco_000000007281,dsp,0,1,#a2bed4,#251210,"[75.614, -4.619, -14.164]","[7.798, 9.578, 4.861]",9.2544,True,True,9.2544,#a2bed4,#251210,False,True,light
coco_000000007281,kmeans_lab,0,4,#a3bfd5,#312725,"[75.978, -4.619, -14.152]","[16.688, 4.272, 3.073]",7.5788,True,True,7.5788,#a3bfd5,#312725,False,True,light
coco_000000007281,kmeans_rgb,2,4,#b3c6d5,#38302c,"[78.912, -3.347, -9.653]","[20.583, 2.795, 3.885]",7.3466,True,True,7.3466,#b3c6d5,#38302c,False,True,light
coco_000000007281,median_cut,4,2,#b5cad9,#5a5754,"[80.222, -3.978, -9.838]","[37.17, 0.598, 2.171]",4.2429,False,False,4.2429,#5a5754,#b5cad9,False,True,light
coco_000000008277,dsp,1,0,#fbefe3,#000000,"[95.072, 2.05, 7.243]","[0.0, 0.0, 0.0]",18.5577,True,True,18.5577,#000000,#fbefe3,False,True,light
coco_000000008277,kmeans_lab,2,3,#c6b3a2,#1a1511,"[74.097, 4.02, 11.154]","[7.194, 1.573, 3.221]",8.946,True,True,8.946,#c6b3a2,#1a1511,False,True,light
coco_000000008277,kmeans_rgb,1,3,#c9b5a3,#0d0904,"[74.894, 4.227, 11.777]","[2.617, 0.419, 2.285]",10.0402,True,True,10.0402,#c9b5a3,#0d0904,False,True,light
coco_000000008277,median_cut,4,1,#cfbba5,#251b0d,"[76.995, 3.58, 13.735]","[10.603, 2.641, 10.432]",9.1074,True,True,9.1074,#251b0d,#cfbba5,False,True,light
coco_000000021465,dsp,0,1,#ffffff,#080403,"[100.0, 0.008, 0.004]","[1.31, 0.907, 0.747]",20.408,True,True,20.408,#ffffff,#080403,False,True,light
coco_000000021465,kmeans_lab,1,2,#baced5,#44312b,"[81.503, -5.31, -5.758]","[22.302, 7.629, 7.194]",7.4867,True,True,7.4867,#baced5,#44312b,False,True,light
coco_000000021465,kmeans_rgb,3,1,#c2ccd0,#3c2e2b,"[81.406, -2.626, -3.161]","[20.397, 5.844, 4.371]",7.9378,True,True,7.9378,#3c2e2b,#c2ccd0,False,True,light
coco_000000021465,median_cut,4,1,#cfd2d1,#193b52,"[83.946, -1.198, 0.139]","[23.485, -4.038, -17.595]",7.7106,True,True,7.7106,#193b52,#cfd2d1,False,True,light
coco_000000028449,dsp,1,4,#fefefe,#121314,"[99.655, 0.008, 0.004]","[5.825, -0.176, -0.743]",18.4434,True,True,18.4434,#fefefe,#121314,False,True,light
coco_000000028449,kmeans_lab,2,0,#c0bdb6,#363636,"[76.666, -0.204, 3.906]","[22.615, 0.003, 0.001]",6.4426,True,True,6.4426,#363636,#c0bdb6,False,True,light
coco_000000028449,kmeans_rgb,4,1,#d5d2c9,#2d2e2d,"[84.203, -0.549, 4.821]","[18.806, -0.678, 0.489]",9.0187,True,True,9.0187,#2d2e2d,#d5d2c9,False,True,light
coco_000000028449,median_cut,4,1,#cccfb4,#2d2e2e,"[82.249, -5.687, 13.09]","[18.839, -0.44, -0.154]",8.5299,True,True,8.5299,#2d2e2e,#cccfb4,False,True,light
coco_000000033854,dsp,0,1,#ffffff,#030206,"[100.0, 0.008, 0.004]","[0.686, 0.818, -1.422]",20.6859,True,True,20.6859,#ffffff,#030206,False,True,light
coco_000000033854,kmeans_lab,0,1,#f7f7f7,#1f2025,"[97.232, 0.008, 0.003]","[12.338, 0.871, -3.527]",15.1769,True,True,15.1769,#f7f7f7,#1f2025,False,True,light
coco_000000033854,kmeans_rgb,0,1,#f9fafb,#1b1c21,"[98.224, -0.146, -0.59]","[10.359, 0.895, -3.59]",16.2758,True,True,16.2758,#f9fafb,#1b1c21,False,True,light
coco_000000033854,median_cut,0,1,#fdfefe,#16181e,"[99.582, -0.321, -0.112]","[8.285, 0.784, -4.512]",17.5616,True,True,17.5616,#fdfefe,#16181e,False,True,light
coco_000000035279,dsp,0,1,#000000,#fefeff,"[0.0, 0.0, 0.0]","[99.68, 0.183, -0.473]",20.8349,True,True,20.8349,#000000,#fefeff,False,True,dark
coco_000000035279,kmeans_lab,0,2,#080808,#e7f2ee,"[2.193, 0.0, 0.0]","[94.596, -4.347, 0.67]",17.4841,True,True,17.4841,#080808,#e7f2ee,False,True,dark
coco_000000035279,kmeans_rgb,0,3,#050505,#ebf6f1,"[1.371, 0.0, 0.0]","[95.965, -4.513, 1.148]",18.4256,True,True,18.4256,#050505,#ebf6f1,False,True,dark
coco_000000035279,median_cut,0,3,#000102,#f1f7ef,"[0.236, -0.122, -0.471]","[96.597, -3.386, 3.151]",19.1907,True,True,19.1907,#000102,#f1f7ef,False,True,dark
coco_000000069106,dsp,2,1,#01020b,#c3d4dd,"[0.669, 0.994, -3.508]","[83.919, -3.918, -6.383]",13.5808,True,True,13.5808,#c3d4dd,#01020b,False,True,dark
coco_000000069106,kmeans_lab,3,4,#232728,#93a4ab,"[15.284, -1.529, -1.273]","[66.286, -4.472, -5.641]",5.8456,True,True,5.8456,#232728,#93a4ab,False,True,dark
coco_000000069106,kmeans_rgb,3,4,#23292a,#99a9b0,"[16.056, -2.379, -1.552]","[68.229, -4.12, -5.499]",6.0873,True,True,6.0873,#23292a,#99a9b0,False,True,dark
coco_000000069106,median_cut,2,4,#292f30,#869192,"[18.877, -2.339, -1.526]","[59.338, -3.751, -1.891]",4.1973,False,False,4.1973,#292f30,#869192,False,True,dark
