image_id,slot1_rejections,slot1_candidates,slot2_rejections,slot2_candidates,slot3_rejections,slot3_candidates,slot4_rejections,slot4_candidates,slot5_rejections,slot5_candidates,total_rejections
coco_000000005060,0,1,8,255,23,254,25,253,68,252,124
coco_000000007281,0,1,123,255,129,254,156,253,175,252,583
coco_000000008277,0,1,23,255,29,254,43,253,51,252,146
coco_000000021465,0,1,7,255,10,254,10,253,20,252,47
coco_000000028449,0,1,72,255,80,254,92,253,112,252,356
coco_000000033854,0,1,50,255,122,254,124,253,126,252,422
coco_000000035279,0,1,56,255,90,254,91,253,94,252,331
coco_000000069106,0,1,75,255,78,254,91,253,164,252,408
coco_000000075393,0,1,46,255,92,254,100,253,108,252,346
coco_000000085329,0,1,89,255,118,254,131,253,161,252,499
coco_000000090062,0,1,3,255,57,254,85,253,86,252,231
coco_000000101022,0,1,51,255,87,254,87,253,101,252,326
coco_000000104666,0,1,52,255,55,254,58,253,100,252,265
coco_000000107226,0,1,31,255,62,254,67,253,78,252,238
coco_000000117645,0,1,211,253,217,252,232,251,234,250,894
coco_000000119516,0,1,144,255,144,254,144,253,145,252,577
coco_000000145020,0,1,13,255,32,254,37,253,37,252,119
coco_000000161128,0,1,89,255,103,254,108,253,177,252,477
coco_000000162543,0,1,23,255,87,254,95,253,99,252,304
coco_000000166287,0,1,118,255,140,254,153,253,177,252,588
coco_000000168974,0,1,12,255,57,254,73,253,73,252,215
coco_000000169169,0,1,15,255,38,254,50,253,55,252,158
coco_000000184400,0,1,89,255,126,254,128,253,128,252,471
coco_000000186632,0,1,5,255,61,254,107,253,107,252,280
coco_000000187249,0,1,86,255,89,254,94,253,95,252,364
coco_000000190923,0,1,19,255,26,254,49,253,52,252,146
coco_000000213035,0,1,170,255,185,254,192,253,214,252,761
coco_000000228214,0,1,25,255,98,254,107,253,108,252,338
coco_000000233370,0,1,29,255,36,254,37,253,40,252,142
coco_000000236690,0,1,144,255,152,254,175,253,198,252,669
coco_000000244379,0,1,51,255,89,254,105,253,105,252,350
coco_000000252216,0,1,56,255,65,254,78,253,89,252,288
coco_000000255749,0,1,40,255,86,254,139,253,190,252,455
coco_000000262487,0,1,134,255,146,254,150,253,155,252,585
coco_000000275791,0,1,33,255,49,254,53,253,54,252,189
coco_000000281693,0,1,25,255,52,254,53,253,118,252,248
coco_000000283520,0,1,53,255,54,254,56,253,74,252,237
coco_000000284106,0,1,37,255,58,254,99,253,110,252,304
coco_000000288762,0,1,57,255,58,254,63,253,64,252,242
coco_000000294163,0,1,22,255,23,254,25,253,29,252,99
coco_000000300233,0,1,27,255,38,254,38,253,107,252,210
coco_000000307145,0,1,21,255,29,254,58,253,114,252,222
coco_000000315187,0,1,116,255,127,254,129,253,148,252,520
coco_000000334977,0,1,32,255,72,254,148,253,155,252,407
coco_000000335427,0,1,71,255,78,254,89,253,92,252,330
coco_000000346232,0,1,114,255,120,254,124,253,133,252,491
coco_000000369037,0,1,128,255,132,254,141,253,149,252,550
coco_000000371472,0,1,40,255,50,254,52,253,56,252,198
coco_000000380706,0,1,67,255,76,254,87,253,87,252,317
coco_000000393093,0,1,30,255,94,254,98,253,98,252,320
coco_000000393115,0,1,79,255,110,254,114,253,114,252,417
coco_000000396729,0,1,155,255,166,254,198,253,225,252,744
coco_000000403584,0,1,65,255,69,254,84,253,101,252,319
coco_000000412286,0,1,155,255,158,254,161,253,163,252,637
coco_000000418961,0,1,172,255,177,254,181,253,186,252,716
coco_000000423506,0,1,6,255,31,254,60,253,76,252,173
coco_000000437205,0,1,15,255,21,254,35,253,37,252,108
coco_000000438304,0,1,74,255,92,254,98,253,100,252,364
coco_000000440171,0,1,56,255,82,254,91,253,94,252,323
coco_000000453341,0,1,30,255,34,254,50,253,77,252,191
coco_000000462031,0,1,41,255,87,254,140,253,190,252,458
coco_000000462371,0,1,82,255,131,254,162,253,209,252,584
coco_000000464522,0,1,42,255,47,254,56,253,63,252,208
coco_000000470779,0,1,1,255,1,254,32,253,39,252,73
coco_000000494759,0,1,90,255,171,254,175,253,210,252,646
coco_000000503841,0,1,47,255,54,254,64,253,67,252,232
coco_000000512330,0,1,45,255,47,254,49,253,50,252,191
coco_000000524742,0,1,24,255,28,254,69,253,86,252,207
coco_000000537355,0,1,54,255,77,254,102,253,102,252,335
coco_000000542625,0,1,10,255,10,254,23,253,23,252,66
coco_000000542856,0,1,81,255,108,254,112,253,115,252,416
coco_000000544811,0,1,17,255,23,254,90,253,90,252,220
coco_000000553339,0,1,93,255,115,254,152,253,186,252,546
coco_000000554735,0,1,60,255,63,254,104,253,127,252,354
coco_000000575372,0,1,26,255,43,254,106,253,106,252,281
