source,subset,image_id,method,n_colours,n_pairs,buggy_aa,correct_aa,aa_delta,delta_pairs_aa,aa_changed,direction,buggy_aaa,correct_aaa,aaa_delta,aaa_changed,max1_colours
raw,photographs,coco_000000005060,dsp,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000005060,median_cut,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000005060,kmeans_rgb,5,10,0.3,0.3,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs,coco_000000005060,kmeans_lab,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000007281,dsp,5,10,0.2,0.2,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000007281,median_cut,5,10,0.0,0.0,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs,coco_000000007281,kmeans_rgb,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000007281,kmeans_lab,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000008277,dsp,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000008277,median_cut,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000008277,kmeans_rgb,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000008277,kmeans_lab,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000021465,dsp,5,10,0.5,0.5,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000021465,median_cut,5,10,0.4,0.4,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000021465,kmeans_rgb,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000021465,kmeans_lab,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000028449,dsp,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000028449,median_cut,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000028449,kmeans_rgb,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000028449,kmeans_lab,5,10,0.2,0.2,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs,coco_000000033854,dsp,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000033854,median_cut,5,10,0.5,0.5,0.0,0,False,unchanged,0.4,0.4,0.0,False,
raw,photographs,coco_000000033854,kmeans_rgb,5,10,0.5,0.5,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs,coco_000000033854,kmeans_lab,5,10,0.4,0.4,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs,coco_000000035279,dsp,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000035279,median_cut,5,10,0.6,0.6,0.0,0,False,unchanged,0.4,0.4,0.0,False,
raw,photographs,coco_000000035279,kmeans_rgb,5,10,0.4,0.4,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs,coco_000000035279,kmeans_lab,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000069106,dsp,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000069106,median_cut,5,10,0.0,0.0,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs,coco_000000069106,kmeans_rgb,5,10,0.1,0.1,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs,coco_000000069106,kmeans_lab,5,10,0.1,0.1,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs,coco_000000075393,dsp,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000075393,median_cut,5,10,0.4,0.4,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs,coco_000000075393,kmeans_rgb,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000075393,kmeans_lab,5,10,0.4,0.4,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000085329,dsp,5,10,0.5,0.5,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs,coco_000000085329,median_cut,5,10,0.0,0.0,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs,coco_000000085329,kmeans_rgb,5,10,0.4,0.4,0.0,0,False,unchanged,0.4,0.4,0.0,False,
raw,photographs,coco_000000085329,kmeans_lab,5,10,0.4,0.4,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs,coco_000000090062,dsp,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000090062,median_cut,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000090062,kmeans_rgb,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000090062,kmeans_lab,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000101022,dsp,5,10,0.4,0.4,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000101022,median_cut,5,10,0.3,0.3,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs,coco_000000101022,kmeans_rgb,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000101022,kmeans_lab,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000104666,dsp,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,"[[1, 1, 0]]"
raw,photographs,coco_000000104666,median_cut,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000104666,kmeans_rgb,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000104666,kmeans_lab,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000107226,dsp,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000107226,median_cut,5,10,0.5,0.5,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000107226,kmeans_rgb,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000107226,kmeans_lab,5,10,0.2,0.2,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000117645,dsp,5,10,0.1,0.1,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs,coco_000000117645,median_cut,5,10,0.0,0.0,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs,coco_000000117645,kmeans_rgb,5,10,0.1,0.1,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs,coco_000000117645,kmeans_lab,5,10,0.1,0.1,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs,coco_000000119516,dsp,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000119516,median_cut,5,10,0.0,0.0,0.0,0,False,unchanged,0.0,0.0,0.0,False,
raw,photographs,coco_000000119516,kmeans_rgb,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000119516,kmeans_lab,5,10,0.4,0.4,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000145020,dsp,5,10,0.4,0.4,0.0,0,False,aaa_only,0.0,0.1,0.1,True,"[[1, 1, 1]]"
raw,photographs,coco_000000145020,median_cut,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000145020,kmeans_rgb,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000145020,kmeans_lab,5,10,0.2,0.2,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000161128,dsp,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000161128,median_cut,5,10,0.3,0.3,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000161128,kmeans_rgb,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
raw,photographs,coco_000000161128,kmeans_lab,5,10,0.3,0.3,0.0,0,False,unchanged,0.1,0.1,0.0,False,
raw,photographs,coco_000000162543,dsp,5,10,0.2,0.4,0.2,2,True,fail_to_pass,0.2,0.2,0.0,False,"[[0, 1, 0]]"
raw,photographs,coco_000000162543,median_cut,5,10,0.4,0.4,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs,coco_000000162543,kmeans_rgb,5,10,0.5,0.5,0.0,0,False,unchanged,0.3,0.3,0.0,False,
raw,photographs,coco_000000162543,kmeans_lab,5,10,0.4,0.4,0.0,0,False,unchanged,0.2,0.2,0.0,False,
