n,baseline,metric,dsp_mean,bl_mean,p_value,marker,cliffs_delta
3,kmeans_lab,min_pairwise_de2000,38.0256773949,22.1039154895,5.28037291732e-14,***,0.951288888889
3,kmeans_lab,wcag_aa_coverage,0.493333333333,0.302222222222,7.42095812514e-08,***,0.449955555556
3,kmeans_rgb,min_pairwise_de2000,38.0256773949,21.787023315,5.28037291732e-14,***,0.951288888889
3,kmeans_rgb,wcag_aa_coverage,0.493333333333,0.337777777778,6.04197497854e-07,***,0.405155555556
3,median_cut,min_pairwise_de2000,38.0256773949,14.745311101,5.28037291732e-14,***,0.996444444444
3,median_cut,wcag_aa_coverage,0.493333333333,0.275555555556,8.63675402726e-09,***,0.480533333333
4,kmeans_lab,min_pairwise_de2000,29.9386915922,17.0783439771,6.20548307409e-14,***,0.829688888889
4,kmeans_lab,wcag_aa_coverage,0.382222222222,0.288888888889,8.93175709339e-05,***,0.356977777778
4,kmeans_rgb,min_pairwise_de2000,29.9386915922,15.6139453202,5.960267044e-14,***,0.921066666667
4,kmeans_rgb,wcag_aa_coverage,0.382222222222,0.32,0.00052020724,***,0.257777777778
4,median_cut,min_pairwise_de2000,29.9386915922,10.5765896521,5.28037291732e-14,***,0.979733333333
4,median_cut,wcag_aa_coverage,0.382222222222,0.262222222222,5.3501556935e-06,***,0.392
6,kmeans_lab,min_pairwise_de2000,21.6238682527,12.3128795417,5.960267044e-14,***,0.8048
6,kmeans_lab,wcag_aa_coverage,0.305777777778,0.251555555556,6.45783309362e-05,***,0.327288888889
6,kmeans_rgb,min_pairwise_de2000,21.6238682527,10.521590873,5.28037291732e-14,***,0.884444444444
6,kmeans_rgb,wcag_aa_coverage,0.305777777778,0.281777777778,0.0769621996267,ns,0.170133333333
6,median_cut,min_pairwise_de2000,21.6238682527,5.86721480755,5.28037291732e-14,***,0.972977777778
6,median_cut,wcag_aa_coverage,0.305777777778,0.240888888889,0.00110895085887,**,0.3488
7,kmeans_lab,min_pairwise_de2000,19.5754590989,11.0592909083,5.28037291732e-14,***,0.804444444444
7,kmeans_lab,wcag_aa_coverage,0.28380952381,0.231111111111,1.73956044842e-06,***,0.378844444444
7,kmeans_rgb,min_pairwise_de2000,19.5754590989,9.05431572406,5.28037291732e-14,***,0.905422222222
7,kmeans_rgb,wcag_aa_coverage,0.28380952381,0.264126984127,0.0384255425037,*,0.146311111111
7,median_cut,min_pairwise_de2000,19.5754590989,5.35073955429,5.28037291732e-14,***,0.976177777778
7,median_cut,wcag_aa_coverage,0.28380952381,0.219047619048,3.90491680005e-05,***,0.373511111111
